날짜,사용자 이름,리뷰,평점,도움
"June 14, 2019",Tina ,"Tina 5.0 out of 5 stars
Just be aware that it only comes in one eye applicator
Reviewed in the United States on June 14, 2019Color: 06 THE BLUSHED NUDESVerified Purchase

  I like it a lot only problem is it actually only comes with one eye applicator not 2 like it shows on display photos.. it should comes with 2 due to a lot of colors options..


















5.0 out of 5 stars

                Just be aware that it only comes in one eye applicator
            


            
              
                  By Tina  on June 14, 2019
              
              
            


            


            I like it a lot only problem is it actually only comes with one eye applicator not 2 like it shows on display photos.. it should comes with 2 due to a lot of colors options..
        


                Images in this review
            











One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,One person found this helpful
"February 25, 2018",Peggy K. Dapitan,"Peggy K. Dapitan5.0 out of 5 stars
The colors are very pretty as shown and it is fun mixing them to ...
Reviewed in the United States on February 25, 2018Color: 06 THE BLUSHED NUDESVerified Purchase

  I purchased the Maybelline New York ""Blushed Nudes"" eyeshadow collection. The colors are very pretty as shown and it is fun mixing them to make another color. They do go on smoothly and last all day. I would buy this product again.


2 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,2 people found this helpful
"March 29, 2018",Mrs McC,"Mrs McC3.0 out of 5 stars
Too loose and pale
Reviewed in the United States on March 29, 2018Color: 02 THE NUDESVerified Purchase

  These are great colors and a good combination of frosty and matte, but the product is too powdery and loose when trying to put it on. Not the usual consistency when applying other dry eye shadows I own. It wasn't enough to impress and I can't recommend them. Sad that this is Maybelline.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,One person found this helpful
"July 31, 2020",Sharon Hampton,"Sharon Hampton5.0 out of 5 stars
GREAT VALUE
Reviewed in the United States on July 31, 2020Color: 02 THE NUDESVerified Purchase

  Wow! I didn't realize there were so many items in this set.  They are of good quality.  I just wish the number and use for each was printed on the individual brushes.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"July 13, 2018",Richard A. Jenkinson,"Richard A. Jenkinson3.0 out of 5 stars
one of the compacts was busted
Reviewed in the United States on July 13, 2018Color: 06 THE BLUSHED NUDESVerified Purchase

  I was kind of disappointed about it arriving with one of the compacts broken, but it's not a big deal, I just broke up the pieces and shoved it together, wet it, and smoothed it out. Once it dried, it was good as new. I know this might have been the fault of shipping, so I can't complain. They didn't exactly know that it was makeup. Anyway, the pallette is beautiful and the colors are extremely pigmented. Aside from the broken compact, which was a little messy inside the container, I have no complaints.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,0 people found this helpful
"December 28, 2020",Sue,"Sue5.0 out of 5 stars
Perfect set of colors!
Reviewed in the United States on December 28, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  Great price for the deal I got on it. Normally with these multi colored sets I only use a few of the colors but this one in sure I'll use almost all of them.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"July 17, 2015",LA Camp,"LA Camp5.0 out of 5 stars
Cheaper than Walmart's price, so just get from Amazon.
Reviewed in the United States on July 17, 2015Color: 02 THE NUDESVerified Purchase

  Hmm... I could pay a high price at Walmart for this, orrrr I could just order it for a lot cheaper on here, and have it delivered.  I was smart and chose the latter.  We all know this is an awesome alternative to the NAKED palette.  The colors are rich, blendable, and stay put through the day There's a lot of options for a neutral look or smokey eyes.  Lots of different color combos to try.  BUT MOSTLY buy it on Amazon, because it's cheaper.


4 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,4 people found this helpful
"December 27, 2017",Kathy Gortney,"Kathy Gortney5.0 out of 5 stars
BEAUTIFUL Palette!
Reviewed in the United States on December 27, 2017Color: 06 THE BLUSHED NUDESVerified Purchase

  Beautiful colors and I love that the back tells you how you can use them together! I love it! The colors are beautiful and very elegant and nice they go on very very nicely and super easy! I love them I also bought the 24k Nides and I love them too they can all be mixed and matched! I threw away all my other shadows because these are all I will ever need! I love them they are gorgeous!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"December 9, 2020",Nelson,"Nelson1.0 out of 5 stars
OH YOU FOOLED ME!
Reviewed in the United States on December 9, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  This product is beyond small. What a major let down on the product. I would never ever pay for this if I knew the product size. I feel robbed!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",1,0 people found this helpful
"November 19, 2019",VWilliamsTX,"VWilliamsTX5.0 out of 5 stars
Versatile
Reviewed in the United States on November 19, 2019Color: 120 THE 24K NUDESVerified Purchase

  I was looking for a versatile shadow palette. This totally fits the bill. It has plums, grays, and browns. Perfect!


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,One person found this helpful
